descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
ROLAND 702,,4253049,2026-03-01,152005,19553,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
HOT BOBINA 01 ,,4253115,2026-03-01,175001,22961,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,06:00:00,14:00:00
FLEXO TECH,,4253196,2026-03-01,160008,83072,1181493/0015,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:32:19,14:00:00
ONYX 808,,4253208,2026-03-01,160007,99340,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:59:17,14:00:00
HOT BOBINA 01 ,,4253258,2026-03-01,175001,14686,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,18:02:53
ROLAND 702,,4253330,2026-03-01,152005,21375,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,18:54:52
ONYX 808,,4253348,2026-03-01,160007,49446,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,19:10:13
FLEXO TECH,,4253349,2026-03-01,160008,40972,1181493/0015,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
HOT BOBINA 01 ,,4253405,2026-03-01,175001,6766,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,18:02:53,22:00:00
ROLAND 702,,4253408,2026-03-01,152005,9033,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,18:54:52,21:03:18
ONYX 808,,4253409,2026-03-01,160007,28563,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:10:13,22:00:00
ONYX 808,,4253577,2026-03-01,160007,71959,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,05:05:16
HOT BOBINA 01 ,,4253578,2026-03-01,175001,20839,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,22:00:00,06:00:00
SACL FOLHA 3 - ZB,,4253625,2026-03-02,165103,17882,1180205/0035,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
CORTADEIRA FURNAX,,4253630,2026-03-02,150001,1,1178314/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,06:00:00,07:03:45
REBOBINADEIRA 1,,4253654,2026-03-02,162001,5262,1181492/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,08:14:58
NEW LONG 5,,4253666,2026-03-02,165005,22870,1179327/0020,13019540-0001,50381317 SACL PAP AUT FSC®PP GEN NAT EXP,NATURA CHILE,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 8,,4253668,2026-03-02,165008,10324,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 10 INDUSTRIAL,,4253669,2026-03-02,165010,21834,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,06:00:00,13:57:25
NEW LONG 11 - P,,4253670,2026-03-02,165011,25016,1179199/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 16 P,,4253674,2026-03-02,165016,3,1179202/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 20,,4253678,2026-03-02,165020,17309,1177833/0050,13019720-0001,SACL PAP AUT NLN FSC® P INST22 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 21,,4253679,2026-03-02,165021,4857,1179865/0050,13021635-0001,94371 SACL PAP NLF FSC®M MAES26 EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 22,,4253681,2026-03-02,165022,20698,1181344/0021,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 23,,4253683,2026-03-02,165023,18403,1181344/0020,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 24,,4253685,2026-03-02,165024,18720,1178337/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,06:00:00,14:00:00
HOT BOBINA 03,,4253704,2026-03-02,175003,15865,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
GUILHOTINA 2,,4253723,2026-03-02,151002,108000,1181390/0020,2100077670,90822 REF FDO FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
SACL FOLHA 2 - ZB,,4253765,2026-03-02,165102,15633,1180076/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:02:16,14:00:00
HOT BOBINA 01 ,,4253774,2026-03-02,175001,7331,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:08:26,09:49:36
SACL FOLHA 4 - ZB,,4253777,2026-03-02,165104,24254,1180084/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:33:17,14:00:00
MK HEIDELBERG PROMATRIX 3 ,,4253781,2026-03-02,155013,2607,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:37:25,10:49:21
